knee_angle,trunk_lean,knee_forward,hip_balance,label
0.3379382058415883,0.523091368074331,0.35616467396418255,0.14356911182403564,0.0
0.3517307554582008,0.5806614296525965,0.315188467502594,0.253143310546875,0.0
0.33837779422211156,0.5754301403335982,0.3272038698196411,0.18862366676330566,0.0
0.3246857776754573,0.6113836505858528,0.305958092212677,0.12959003448486328,0.0
0.39108251616038775,0.6889357210119683,0.14683306217193604,0.26067912578582764,0.0
0.3524530270472161,0.6295612549398181,0.17638166745503744,0.19949018955230713,0.0
0.3391848218981872,0.6413619442683802,0.2003955841064453,0.1408684253692627,0.0
0.38032942494595934,0.6459464919438708,0.13694783051808676,0.17935574054718018,0.0
0.35833746459834187,0.6528243911926966,0.16267836093902588,0.17276287078857422,0.0
0.34446565902232684,0.6647354901842841,0.2238929271697998,0.16428053379058838,0.0
0.44073971947669527,0.6068884478318364,0.22743086020151776,0.09568393230438232,0.0
0.7705953232973185,0.1440918933875581,0.060632924238840744,0.06806939840316772,0.0
0.8700194076113387,0.013786039454151173,0.06476879119873047,0.0237235426902771,0.0
0.9176801658793821,0.01865430292165821,0.08735279242197673,0.057687461376190186,0.0
0.8520835759263329,0.05568034937667993,0.11057903369267783,0.018545091152191162,0.0
0.8234731299516264,0.15867929214140092,0.056602756182352706,0.026711225509643555,0.0
0.6981838432744497,0.3930869979310525,0.09900609652201335,0.04716724157333374,0.0
0.6831587157903288,0.41649715477756816,0.044257938861846924,0.03887683153152466,0.0
0.6950534428281232,0.49113761745133944,0.022457043329874676,0.04099160432815552,0.0
0.676706242080042,0.49718789796118457,0.05748530228932699,0.015956461429595947,0.0
0.6690171387017085,0.5112570277679643,0.05425413449605306,0.016601979732513428,0.0
0.6939143152523476,0.5069243335902136,0.020258724689483643,0.011218488216400146,0.0
0.6849648833931038,0.49273445240262703,0.030897657076517742,0.021019577980041504,0.0
0.6706340683919992,0.44741141766733217,0.04908074935277303,0.01982361078262329,0.0
0.8308797540125578,0.11935332591331957,0.068472425142924,0.01945018768310547,0.0
0.9249510490257257,0.04993491886652018,0.06772021452585857,0.031039416790008545,0.0
0.8808283232101674,0.009764741006538328,0.07179250319798788,0.04686921834945679,0.0
0.8668693647895184,0.04560555886324667,0.08383591969807944,0.05392491817474365,0.0
0.8712132127305228,0.12571370366194173,0.07108022769292197,0.12309402227401733,0.0
0.8436773167908752,0.14400127702099305,0.0989090402921041,0.09938210248947144,0.0
0.8407284185248596,0.182366681892944,0.08926977713902792,0.08604884147644043,0.0
0.8292730066174261,0.19793001901002039,0.10655323664347331,0.07267206907272339,0.0
0.7998568559767802,0.18551236864079915,0.1484343409538269,0.05714535713195801,0.0
0.7787716842443604,0.1831942447756091,0.17166962226231894,0.005929172039031982,0.0
0.7450025754202353,0.2004162118619094,0.20216286182403564,0.025870203971862793,0.0
0.7498588594756285,0.15110416712756827,0.17121563355127972,0.030808448791503906,0.0
0.7253779575166746,0.1888643439876844,0.14383157094319662,0.05156487226486206,0.0
0.8229001455774856,0.14248474136560468,0.055748422940572105,0.05282402038574219,0.0
0.7239070491009846,0.21970478992545964,0.18397927284240723,0.011126399040222168,0.0
0.6512866975098598,0.35959318398301054,0.20170122385025024,0.04710972309112549,0.0
0.6139332656546824,0.4257524741496346,0.21764973799387616,0.009850263595581055,0.0
0.5991960241089854,0.47656333033871057,0.16485502322514853,0.09243041276931763,0.0
0.5754457403578254,0.5154465073021074,0.15442768732706708,0.04796624183654785,0.0
0.5878478470824423,0.5852738185739506,0.12497454881668091,0.05654066801071167,0.0
0.6870110075445535,0.6365537904230004,0.016312003135681152,0.05474776029586792,0.0
0.77452775811023,0.7387118432871559,0.059528847535451256,0.0814780592918396,0.0
0.7235420753241879,0.7347215078211391,0.01952032248179118,0.12275934219360352,0.0
0.7164056154219713,0.7578320707013022,0.028173128763834637,0.13690203428268433,0.0
0.745441414083673,0.7308556714947784,0.02365410327911377,0.08659303188323975,0.0
0.7723149205552916,0.7419557627600246,0.0734702746073405,0.035341084003448486,0.0
0.7563623202413047,0.7274889637857582,0.06603866815567017,0.07468968629837036,0.0
0.7963169028617478,0.4816064863895535,0.09663403034210205,0.05455106496810913,0.0
0.8962177966074925,0.16997042009720564,0.003860294818878174,0.03069460391998291,0.0
0.9656794432594995,0.050348122971864334,0.02072413762410482,0.009631514549255371,0.0
0.978432996324288,0.023843690758375433,0.015865465005238853,0.04260897636413574,0.0
0.8790328703135581,0.2985113014549184,0.004651347796122233,0.008237361907958984,0.0
0.8182982996344129,0.5950109400069293,0.08189131816228232,0.10647594928741455,0.0
0.8058432481119238,0.721270947253979,0.09396910667419434,0.03237873315811157,0.0
0.8313456154759338,0.7683274341903351,0.10534077882766724,0.09947270154953003,0.0
0.8259925125774653,0.7803574302065432,0.11688808600107829,0.06994783878326416,0.0
0.8257675503061702,0.7732188856617626,0.1258629560470581,0.08019149303436279,0.0
0.81747297472716,0.7814982919793356,0.10709901650746664,0.022277534008026123,0.0
0.8074157286256178,0.7827290137885732,0.09134888648986816,0.12205302715301514,0.0
0.7977044697133885,0.760665332276074,0.10053555170694987,0.06082594394683838,0.0
0.8046488995721254,0.7554332113747001,0.11540939410527548,0.06981164216995239,0.0
0.8273571589110492,0.6834315564000832,0.13343443473180136,0.049642324447631836,0.0
0.913559923499485,0.07981791600927438,0.05615532398223877,0.0035369396209716797,0.0
0.9424283800233485,0.08715673074447532,0.02610395352045695,0.00018835067749023438,0.0
0.9155626891056164,0.08394664836719185,0.05751967430114746,0.02141892910003662,0.0
0.8473722513301882,0.04923449499593925,0.11232862869898479,0.0010204315185546875,0.0
0.5875618549672251,0.26067937175677414,0.26865382989247644,0.07400214672088623,0.0
0.4064624248315381,0.48358615429384866,0.36356319983800256,0.1031792163848877,0.0
0.43173154414528303,0.4864459036387303,0.35218775272369385,0.07267415523529053,0.0
0.4104439574518163,0.49254377335329225,0.3657378753026327,0.1089322566986084,0.0
0.41490986059135565,0.49550325004949286,0.3475591540336609,0.1183176040649414,0.0
0.44930594382888045,0.48661130120535057,0.2906336386998495,0.0797736644744873,0.0
0.4274118012109489,0.48342187719810326,0.3328375021616618,0.0573045015335083,0.0
